mz,int
264.42554 ,493.1410
270.04709 ,448.4140
290.98661 ,159.4505
128.92889 ,324.9500
195.03201 ,1129.3993
227.01804 ,374.0051
276.98489 ,518.5800
98.95342 ,1033.2634
206.06636 ,1374.8263
207.06851 ,139.3766
255.01835 ,1943.2963
225.02635 ,506.0513
368.11688 ,670.8702
369.11232 ,128.0540
95.94938 ,5993.4161
102.29970 ,619.9350
252.03720 ,585.7548
257.01185 ,467.7996
451.07547 ,794.8572
274.98882 ,5608.4762
449.07832 ,5125.8536
450.07385 ,4630.7887
280.55023 ,632.7203
96.95728 ,19741.4112
448.07548 ,28943.9274
